Host Name,carbon emissions,#Cores (CPU %Utilization),"Core
Highest
min (CPU %Utilization)","Core
Highest
max (CPU %Utilization)","Core
Highest
avg (CPU %Utilization)","Core
# oc > 80% (CPU %Utilization)","Core 
Total Seconds > 80% (CPU %Utilization)","Core 
Total Time > 80% (CPU %Utilization)","CPU
Highest
min (CPU %Utilization)","CPU
Highest
max (CPU %Utilization)","CPU
Highest
avg (CPU %Utilization)","
CPU# oc > 80% (CPU %Utilization)","
CPU
Total Seconds > 80% (CPU %Utilization)","
CPU
% Interval > 80% (CPU %Utilization)","
CPU
Total Time > 80% (CPU %Utilization)","Total RAM
GB (Memory %Utilization)",min (Memory %Utilization),max (Memory %Utilization),avg (Memory %Utilization),#oc > 80% (Memory %Utilization),"send min
MB/Sec (All Network Traffic)","send max
MB/Sec (All Network Traffic)","send avg
MB/Sec (All Network Traffic)","receive min
MB/Sec (All Network Traffic)","receive max
MB/Sec (All Network Traffic)","receive avg
MB/Sec (All Network Traffic)","Total MB
Sent (All Network Traffic)","Total MB
Received (All Network Traffic)","tx min
MB/Sec (PCoIP Statistics)","tx max
MB/Sec (PCoIP Statistics)","tx avg 
MB/Sec (PCoIP Statistics)","Total MB
sent (PCoIP Statistics)","rx min
MB/Sec (PCoIP Statistics)","rx max
MB/Sec (PCoIP Statistics)","rx avg
MB/Sec (PCoIP Statistics)","Total MB
received (PCoIP Statistics)","rx 
% packet loss
min (PCoIP Statistics)","rx 
% packet loss
max (PCoIP Statistics)","rx 
% packet loss
avg (PCoIP Statistics)","tx 
% packet loss
min (PCoIP Statistics)","tx 
% packet loss
max (PCoIP Statistics)","tx 
% packet loss
avg (PCoIP Statistics)","GPU
min (NVIDIA %Utilization)","GPU
max (NVIDIA %Utilization)","GPU
avg (NVIDIA %Utilization)","GPU
#oc > 80% (NVIDIA %Utilization)","MEM
min (NVIDIA %Utilization)","MEM
max (NVIDIA %Utilization)","MEM
avg (NVIDIA %Utilization)","MEM
#oc > 80% (NVIDIA %Utilization)","Read MB
min (Local Disk - workstation internal drives)","Read MB
max (Local Disk - workstation internal drives)","Read MB
avg (Local Disk - workstation internal drives)","Write MB
min (Local Disk - workstation internal drives)","Write MB
max (Local Disk - workstation internal drives)","Write MB
avg (Local Disk - workstation internal drives)","Read IOPs
min (Local Disk - workstation internal drives)","Read IOPs
max (Local Disk - workstation internal drives)","Read IOPs
avg (Local Disk - workstation internal drives)","Write IOPs
min (Local Disk - workstation internal drives)","Write IOPs
max (Local Disk - workstation internal drives)","Write IOPs
avg (Local Disk - workstation internal drives)","Free MB
min (Local Disk - workstation internal drives)","Free MB
max (Local Disk - workstation internal drives)","Free MB
avg (Local Disk - workstation internal drives)"
ld71r18u44dws,1.9439301919782395,24,0.173611111,67.70833333,0.815863963,0,0,,0.013176205,6.963975694,0.080784775,0,0,0,,68.41064243,11.55436561,16.44613278,12.51275537,0,0.000654333,1.289013722,0.002158904,4.54667E-05,7.664058489,0.006977528,832.1846684,1446.80423,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,1,63,29.4425641,0,0,22.2641664,0.026786932,0.004727467,109.4738546,0.19570285,0,387.6111111,0.694592488,0.255555556,3433.177778,7.658478261,1934804.124,1938792.907,1937925.943
ld71r16u15ws,0.8459818930682723,28,0.555555556,78.26388889,0.714056751,0,0,,0.062624008,6.690228175,0.13201367,0,0,0,,137.1529748,6.937556662,9.765903521,7.367855255,0,0.000735433,1.8675351,0.002226265,0.000110767,1.186898133,0.002160955,632.0265548,1529.862472,0,0,0,0,0,0,0,0,,,0,,,0,0,3,0.005128205,0,1,67,28.44307692,0,0,11.65377991,0.027487693,0.004869689,33.58046436,0.10158826,0,361.1333333,0.797156686,0.333333333,2235.111111,5.77518554,884693.0084,888918.7697,888200.1912
ld71r18u44fws,9.847564453651831,24,0.329861111,76.47569444,13.92255235,0,0,,0.037615741,25.69073267,2.374675111,0,0,0,,68.41064243,11.45298742,33.19275981,22.1703975,0,0.000716967,7.024492089,0.01418144,6.38556E-05,5.698139956,0.011291403,3757.863342,3770.940366,0,0.098943071,0.00203153,478.6987496,0,0.008708333,0.000452283,106.408375,0,52.97906602,0.773241275,0,9.879931389,0.088548438,0,46,4.121087737,0,0,67,13.45253976,0,0,37.10994204,0.055135872,0.012674844,29.74225067,0.136202096,0,1174.633333,1.514983026,0.7,773.9333333,9.953794432,1901783.417,1908370.571,1903922.565
ld71r16u13ws,0.8333726182515161,28,0.260416667,63.87152778,0.460464852,0,0,,0.036582341,7.508680556,0.128619427,0,0,0,,137.1529748,5.730058759,9.107215902,6.815193462,0,0.000687222,1.882855767,0.00206217,0.000109344,7.940079111,0.006254171,859.6917819,2707.836391,0,0.086998269,4.46145E-05,32.56557183,0,0.003714897,1.90508E-06,1.707452728,0,0,0,0,0,0,0,9,0.004615385,0,0,83,31.60666667,4,0,17.02611058,0.029320953,0.001683911,23.07064604,0.179696345,0,273.8333333,0.755908819,0.222222222,1027.211111,7.632517799,870311.7885,883149.5045,874526.4325
ld71r18u44bws,2.1842720007002048,24,0.121527778,70.20833333,2.792683841,0,0,,0.022424769,14.71571181,0.445829334,0,0,0,,68.41064243,12.64670185,47.22088621,19.0156504,0,0.000690411,0.288376189,0.002530906,0.0000474,43.53873621,0.058673473,803.9446746,17003.17031,0,0.108713467,0.001051116,243.6405148,0,0.006684222,0.000138896,32.39421176,0,0.523560209,0.061878908,0,2.775290958,0.255345836,0,95,0.715238584,3,0,86,27.53206773,4,0,55.05196942,0.332813219,0.006735644,166.8798976,0.953387424,0,1612.644444,11.01206523,0.233333333,4246.977778,30.06449425,1894473.794,1932173.246,1922446.341
ld71r18u44cws,0.6661471775760394,24,0.15625,66.66666667,0.680927875,0,0,,0.01953125,6.762876157,0.090862504,0,0,0,,68.41064243,18.44604093,24.20791103,19.80702378,0,0.0006558,13.10079812,0.009370948,4.99333E-05,7.849437544,0.007433342,1907.203541,2480.276325,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.005641026,0,2,79,28.98307692,0,0,24.19463964,0.032377812,0.010558578,43.13786027,0.136005752,0,244.0222222,0.553435911,1,1126.944444,6.10488969,1924167.369,1930453.582,1928751.998
ld71r16u14ws,0.8480908716672524,28,0.104166667,83.59375,0.683228238,2,240,4m,0.066964286,5.896577381,0.135559799,0,0,0,,137.1529748,9.84249691,12.48751777,10.24147126,0,0.000720156,1.8716937,0.002964882,0.000110056,7.898486111,0.005969137,1063.412556,2309.490604,0,0,0,0,0,0,0,0,,,0,,,0,0,1,0.003076923,0,2,36,18.18512821,0,0,20.598784,0.027184287,0.002821689,44.11428409,0.181518791,0,206.8333333,0.654531434,0.255555556,1529.533333,9.014483663,880162.1115,884953.0552,882812.1185
ld71r18u44ews,3.1831074415286715,24,0.277777778,40.6563763,1.388587354,0,0,,0.020978009,39.78067301,0.821035114,0,0,0,,0,7.857947432,10.41146601,7.935382685,0,0.000704311,0.014554478,0.001011657,0.000051,0.0615016,0.001285769,216.1334385,360.3143456,0,0.003753968,7.02671E-05,132.6466425,0,0.000563792,1.11302E-05,16.06305185,0,0,0,0,0,0,0,0,0,0,9,45,29.28301887,0,0,2.413556622,0.048563482,0.005563733,1.228373333,0.047060565,0,96.3,1.939006512,0.677777778,74.35555556,3.395697648,1886902.026,1886946.066,1886943.333
